34B0	CJK UNIFIED IDEOGRAPH-34B0
34B1	CJK UNIFIED IDEOGRAPH-34B1
34B2	CJK UNIFIED IDEOGRAPH-34B2
34B3	CJK UNIFIED IDEOGRAPH-34B3
34B4	CJK UNIFIED IDEOGRAPH-34B4
34B5	CJK UNIFIED IDEOGRAPH-34B5
34B6	CJK UNIFIED IDEOGRAPH-34B6
34B7	CJK UNIFIED IDEOGRAPH-34B7
34B8	CJK UNIFIED IDEOGRAPH-34B8
34B9	CJK UNIFIED IDEOGRAPH-34B9
34BA	CJK UNIFIED IDEOGRAPH-34BA
34BB	CJK UNIFIED IDEOGRAPH-34BB
34BC	CJK UNIFIED IDEOGRAPH-34BC
34BD	CJK UNIFIED IDEOGRAPH-34BD
34BE	CJK UNIFIED IDEOGRAPH-34BE
34BF	CJK UNIFIED IDEOGRAPH-34BF
34C0	CJK UNIFIED IDEOGRAPH-34C0
34C1	CJK UNIFIED IDEOGRAPH-34C1
34C2	CJK UNIFIED IDEOGRAPH-34C2
34C3	CJK UNIFIED IDEOGRAPH-34C3
34C4	CJK UNIFIED IDEOGRAPH-34C4
34C5	CJK UNIFIED IDEOGRAPH-34C5
34C6	CJK UNIFIED IDEOGRAPH-34C6
34C7	CJK UNIFIED IDEOGRAPH-34C7
34C8	CJK UNIFIED IDEOGRAPH-34C8
34C9	CJK UNIFIED IDEOGRAPH-34C9
34CA	CJK UNIFIED IDEOGRAPH-34CA
34CB	CJK UNIFIED IDEOGRAPH-34CB
34CC	CJK UNIFIED IDEOGRAPH-34CC
34CD	CJK UNIFIED IDEOGRAPH-34CD
34CE	CJK UNIFIED IDEOGRAPH-34CE
34CF	CJK UNIFIED IDEOGRAPH-34CF
34D0	CJK UNIFIED IDEOGRAPH-34D0
34D1	CJK UNIFIED IDEOGRAPH-34D1
34D2	CJK UNIFIED IDEOGRAPH-34D2
34D3	CJK UNIFIED IDEOGRAPH-34D3
34D4	CJK UNIFIED IDEOGRAPH-34D4
34D5	CJK UNIFIED IDEOGRAPH-34D5
34D6	CJK UNIFIED IDEOGRAPH-34D6
34D7	CJK UNIFIED IDEOGRAPH-34D7
34D8	CJK UNIFIED IDEOGRAPH-34D8
34D9	CJK UNIFIED IDEOGRAPH-34D9
34DA	CJK UNIFIED IDEOGRAPH-34DA
34DB	CJK UNIFIED IDEOGRAPH-34DB
34DC	CJK UNIFIED IDEOGRAPH-34DC
34DD	CJK UNIFIED IDEOGRAPH-34DD
34DE	CJK UNIFIED IDEOGRAPH-34DE
34DF	CJK UNIFIED IDEOGRAPH-34DF
34E0	CJK UNIFIED IDEOGRAPH-34E0
34E1	CJK UNIFIED IDEOGRAPH-34E1
34E2	CJK UNIFIED IDEOGRAPH-34E2
34E3	CJK UNIFIED IDEOGRAPH-34E3
34E4	CJK UNIFIED IDEOGRAPH-34E4
34E5	CJK UNIFIED IDEOGRAPH-34E5
34E6	CJK UNIFIED IDEOGRAPH-34E6
